Bill Date,Account Number,Payment Due Date,Amount Due
06/28/2017,0604790727-00002,07/19/2017,"\$8,008.53"
Customer Name,MAPLE POINTE,Account Summary,
Service Address,BLDG <br> 150 W MAPLE ST <br> CHICAGO IL 60610-1433,,
,,Billing Period: 05/01/2017 to 05/31/2017,
Pool Number,460006393,,
Contract Number,460005753,,
,,Billing Days,33 61
Activity Since Last Bill,,Avg Daily Temp,\$7*F,$54 * F$
Previous Balance 05/25/2017,"\$4,288.07",,,
Balance,"\$4,288.07",Avg Thermas/Day,292.4,485.0
Total Current Charges,"\$5,750.46",,
Total Current Balance,"\$8,008.53",,
