Sye Ador: 613 WASHINGTON ST STE 1 MIDDLETOWN CT 06457,,,,,
,,,,Bill Cycle: 19,
Service from 04/27/23 - 05/25/23,,,,28 Days,
"Next read date on or about: Jun 27, 2023",,,,,
Meter <br> Number,Current <br> Read,Previous <br> Read,Current <br> Usage,Reading <br> Type,
891495982,71064,56373,14691,Actual,
Total Demand Use $=35.80 \mathrm{~kW}$,,,,,
Monthly kWh Use,,,,,
May,Jun,Jul,Aug,Sep,Oct,Nov
15362,18346,19212,20865,18056,15637,17000
Dec,Jan,Feb,Mar,Apr,May,
13977,13702,14868,13288,15804,14691,
